text,ratings.overall
"['property', 'beautiful', 'staff', 'accomodating', 'always', 'coffee', 'morning', 'juice', 'cooky', 'evening']",5.0
"['stayed', 'hotel', 'business', 'meeting', 'absolutely', 'amazing', 'service', '\n', 'ritz', 'afterallabsolutely', 'nothing', 'complain']",5.0
"['stayed', 'one', 'night', 'catching', 'concert', 'town', 'hotel', 'great', 'would', 'definitely', 'stay']",5.0
"['disappointed', 'service', 'room', 'decor', 'many', 'small', 'detail', 'missed']",3.0
"['beautiful', 'exceptional', 'service', 'great', 'location', 'top', 'notch', 'stayed', 'run', 'mcm', 'many', 'special', 'treat', 'u', 'loved']",5.0
"['nice', 'hotel', 'washington', 'close', 'georgetown']",4.0
"['clean', 'convenient', 'wonderful', 'restaurant', 'beautiful', 'lobby', 'extremely', 'courteous', 'staff', 'marvelous', 'experience']",5.0
"['great', 'hotel', 'wounderful', 'service', 'amazing', 'facility', 'n', 'hotel', 'suppose']",4.0
"['hotel', 'accommodating', 'setting', 'room', 'client', 'impressed', 'appreciated', 'surroundings']",5.0
"['worth', 'every', 'penny', 'get', 'great', 'ratenot', 'worth', '50000', 'night']",5.0
"['hotel', 'clean', 'charming', 'service', 'food', 'excellent', 'dining', 'room', 'great', 'steak', 'management', 'attentuve']",5.0
"['nice', 'enough', 'room', 'good', 'location', 'loved', 'dc']",4.0
"['great', 'location', 'metrofriendly', 'staffamazingly', 'comfortable', 'bed']",5.0
"['lovely', 'little', 'european', 'style', 'boutique', 'hotel', 'cheery', 'dining', 'room', 'breakfast']",3.0
"['amazing', 'room', 'nice', 'staff', 'elegant', 'decor', 'walking', 'distance', 'national', 'mall', 'could', 'want']",5.0
"['third', 'stay', 'hotel', 'lombardy', 'love', 'location', 'attentive', 'employee', 'sweet', 'clean', 'room']",5.0
"['excellent', 'hotel', 'wonderfully', 'situated', 'room', 'big', 'clean', 'nice', 'staff', 'friendly', 'helpful', 'looking', 'forward', 'staying']",5.0
"['employee', 'helpful', 'welcoming', 'hotel', 'great', 'location', 'warm', 'atmosphere']",5.0
"['great', 'staff', 'clean', 'hotel', 'bathroom', 'could', 'use', 'update', 'close', 'gwu', 'campus', 'wireless', 'internet', 'working', 'remedy', '3', 'time']",4.0
"['surrounded', 'great', 'restaurant', 'nicely', 'updated', 'hotel', 'bathroom', 'nice', 'size', 'linen', 'comfort', 'outstanding']",4.0
"['one', 'bedroom', 'suite', 'perfect', 'family', 'two', 'young', 'child', 'location', 'perfect', 'hotel', 'charming', 'would', 'defintely', 'stay']",5.0
"['excellent', 'hotel', 'good', 'location', 'white', 'house', 'georgetown', 'bit', 'expensive', 'hotel', 'generally', 'washington']",5.0
"['found', 'service', 'staff', 'location', 'hotel', 'good', 'would', 'definitely', 'stay', 'would', 'recommend', 'friend']",5.0
"['great', 'alternative', 'alltoomuchthesame', 'modern', 'hotel']",5.0
"['decent', 'thing', 'hotel', 'people', 'working']",1.0
"['room', 'nice', 'modern', 'decorated', 'got', 'kosher', 'meal', 'jewish', 'center', 'neigbourhood']",4.0
"['great', 'location', 'wonderful', 'staff', 'love', 'decor', 'free', 'social', 'hour', 'wine', 'hour', 'always', 'bonus']",5.0
"['great', 'decor', 'service', 'okay', 'lot', 'hidden', 'charge']",2.0
"['hotel', 'rouge', 'perfect', 'location', 'close', 'metro', 'courteous', 'staff', 'great', 'food', 'comfortable', 'room', 'bed']",5.0
"['stylish', 'large', 'room', 'great', 'front', 'desk', 'staff', 'good', 'meal', 'drink', 'experience', 'bar', 'stay']",5.0
"['room', 'size', 'huge', 'staff', 'friendly', '20minutes', 'walk', 'white', 'house']",5.0
"['love', 'front', 'desk', 'staff', 'go', 'extra', 'mile', 'great', 'location', 'nice', 'big', 'somewhat', 'cheesy', 'room']",4.0
"['great', 'location', 'great', 'service', 'fun', 'updated', 'decor', 'would', 'stay', 'without', 'hesitation']",5.0
"['loved', 'stay', 'excellent', 'service', 'way', 'nice', 'decor', 'amenity', 'would', 'stay', 'sure']",5.0
"['felt', 'home', 'dog', 'lily', 'welcome', 'guest', 'staff', 'exemplary', 'location', 'great', 'definitely', 'back']",5.0
"['everithing', 'really', 'excellent', 'come', 'back', 'u', 'well', 'come', 'back', 'sure']",5.0
"['left', 'something', 'room', 'housekeeping', 'staff', 'went', 'way', 'send', 'back', 'u', 'wish', 'every', 'business', 'employee', 'like']",5.0
"['clean', 'room', 'great', 'location', 'near', 'dupont', 'circle', 'metro', 'etc', 'back']",5.0
