text,ratings.overall
"['room', 'fine', 'service', 'try', 'hard', 'always', 'succeed', 'great', 'place', 'going', 'beacon', 'theater', 'next', 'door', 'concert']",3.0
"['best', 'place', 'stay', 'nyc', 'want', 'go', 'back', 'miss', 'sooooo', 'much']",5.0
"['pleasant', 'pleasant', 'clean', 'room', 'nice', 'bathroom', 'fair', 'price', 'given', 'location', 'city', 'new', 'york']",4.0
"['good', 'family', 'hotel', 'good', 'neighborhood', 'hotel', 'staff', 'friendly', 'helpful', 'room', 'spacious', 'however', 'starting', 'show', 'wear']",3.0
"['beautiful', 'deluxe', 'room', 'amazing', 'view', ' ', 'special', 'way', 'spend', 'christmas']",5.0
"['great', 'location', 'deli', 'everywhere', 'great', 'family', '2', 'thumb']",5.0
"['ca', 'nt', 'beat', 'one', 'right', 'central', 'park', 'west', 'right', 'across', 'fairview', 'market', '\n', 'loved', 'place']",5.0
"['fantastic', 'hotel', 'great', 'location', ' ', 'staff', 'fantastic', 'love', 'new', 'york', 'stunning', 'real', 'iconic', 'place', 'would', 'come', 'back']",5.0
"['good', 'location', 'facility', 'helpful', 'staff', 'access', 'internet', 'station', 'hard', 'room', 'big', 'new', 'york', 'standard', 'would', 'stay']",4.0
"['upper', 'west', 'side', 'couple', 'block', 'central', 'park', 'cosmopolitan', 'artistic', 'friendly', 'comfortable', 'could', 'move']",4.0
"['room', 'comfortable', 'staff', 'excellent', 'highly', 'recommend']",5.0
"['great', 'hotelfriendly', 'staff', 'great', 'locationclean', 'tidywould', 'recomend', 'anyone', 'want', 'good', 'hotel', 'reasonable', 'rate']",5.0
"['first', 'timer', 'new', 'york', 'fantastic', 'locationvery', 'clean', ' ', 'close', 'subway', ' ', 'fabulous', 'deli', 'fresh', 'food', 'overall', 'great', 'place', 'stay']",4.0
"['well', 'located', 'good', 'facility', 'cosy']",4.0
"['fantastic', 'location', 'great', 'hotel', 'felt', 'like', 'lived', 'ny', 'week', 'nt', 'tell', 'everyone', 'know', 'loos', 'charmes']",4.0
"['good', 'little', 'hotel', 'friendly', 'staff', 'plus', 'new', 'nice', 'location']",4.0
"['great', 'place', 'great', 'location', 'would', 'stay', 'without', 'question', 'enjoyed', 'large', '2', 'twin', 'bed', 'room', 'twin', 'roll', 'away', 'bed']",5.0
"['top', 'location', 'friendly', 'staff', 'great', 'room', 'view']",4.0
"['great', 'hotel', 'location', 'right', 'across', 'ny', 'public', 'library', 'bryant', 'park']",5.0
"['exceptionally', 'well', 'manned', 'staff', ' ', 'refreshing', 'experience', 'nyc']",5.0
"['wonderful', 'hotel', 'clean', 'friendly', 'courteous', 'staff', 'comfy', 'bed', 'staying']",5.0
"['well', 'positioned', 'small', 'hotel', 'excellent', 'staff', 'felt', 'well', 'looked', 'entire', 'stay', '10', 'day', 'thank', 'look', 'forward', 'returning', 'soon']",5.0
"['would', 'recommend', 'traveller', 'obliging', 'location', 'excellent', 'restaurant', 'close', 'time', 'square', 'shopping', 'area', 'nearby']",5.0
"['part', 'hyatt', 'chain', 'hip', 'high', 'tech', 'yet', 'friendly', 'helpful', 'staff', 'ok', 'restaurant']",2.0
"['hotel', 'great', 'location', ' ', 'right', 'across', 'ny', 'library', 'staff', 'friendly', 'helpful', 'hosted', 'wine', 'evening', 'room', 'great']",5.0
"['great', 'hotel', 'staff', 'made', 'feel', 'like', 'family', ' ', 'room', '5', 'star', 'plus', ' ', 'staying', 'trip', 'nyc', 'great', 'location']",5.0
"['great', 'service', 'perfect', 'location', 'nicely', 'appointed', 'room', 'comfortable', 'size', 'great', 'addition', 'ny', 'hotel', 'market']",5.0
"['ca', 'nt', 'praise', 'hotel', 'highly', 'enough', 'beautiful', 'room', 'excellent', 'service', 'unique', 'experience', 'location', 'perfect']",5.0
"['hotel', 'nicer', 'plaza', 'loved', 'view', 'empire', 'state', 'building', 'stayed', 'penthouse', 'excellent']",5.0
"['word', 'describe', 'amazing', 'service', ' ', 'room', ' ', 'experience', 'location', 'guess', 'even', ' ', 'perfect', ' ', 'understatement']",5.0
"['great', 'location', 'large', 'room', 'fantastic', 'service', '5', 'star', 'sure', 'everyone', 'staff', 'go', 'extra', 'mile', 'smile']",5.0
"['stayed', 'setai', 'weekend', 'celebrate', 'daughter', '10th', 'birthday', ' ', 'everything', 'perfect']",5.0
"['truly', '5', 'star', 'hotel', 'moment', 'arrive', 'moment', 'leave', 'make', 'feel', 'special', 'complaint', 'figure']",5.0
"['absolute', 'stunning', 'luxury', 'great', 'staff', 'spotlessly', 'clean', 'everything', 'could', 'want']",5.0
"['great', 'service', 'clean', 'pickyi', 'would', 'highly', 'recommendeveryone', 'nice']",5.0
"['fantastic', 'room', 'amenity', 'location', 'service', 'enough', 'said', 'nt', 'try', 'restaurant', 'hope', 'next', 'time']",5.0
"['easy', 'get', 'everywhere', 'room', 'spacious', 'comfortable']",5.0
"['great', 'place', 'stay', 'two', 'day', ' ', 'skeptical', 'come', 'staying', 'hotel', 'place', 'awesome']",5.0
"['minor', 'thingy', 'wife', 'tea', 'bag', 'room', 'otherwise', 'perfect']",5.0
"['stayed', 'xmas', ' ', 'new', 'year', ' ', 'single', 'complaint', ' ', 'great', 'mid', 'town', 'hotel', ' ', 'make', 'rest', 'manhattan', 'easily', 'accessible']",5.0
"['visiting', 'nyc', 'last', '38', 'year', 'best', 'hotel', 'know', 'city']",5.0
"['stayed', 'business', 'trip', 'last', 'month', 'excellent', 'location', 'nice', 'room', 'decor', 'certainly', 'come', 'back']",5.0
"['hotel', 'gem', '5th', 'avenue', 'felt', 'special', 'would', 'absolutely', 'recommend', 'treat', 'night', 'great', 'hotel']",5.0
"['new', 'property', 'beautiful', 'modern', 'styled', 'room', 'great', 'hotel', 'business', 'pleasure']",5.0
"['amazing', 'hotel', 'great', 'staff', ' ', 'stayed', '3', 'time', 'april', 'may', 'modern', 'staff', 'well', 'trained', 'great', 'value', 'money']",5.0
"['moment', 'arrived', 'setai', 'provided', 'great', 'expeience', 'hotel', 'could', 'great', 'room', 'amenitiesall', 'first', 'class']",5.0
"['excelent', 'room', 'beautiful', 'reception', 'many', 'hotel', 'arround', 'world', 'doubt', 'among', 'top', '3', '\n', 'room', 'huge', 'new']",5.0
"['backexcellent', 'locationvery', 'nice', 'aprtment', 'suite', '\n', 'friendly', 'courteous', 'staff', '\n', 'would', 'highly', 'recommend']",5.0
"['spectacular', 'great', 'service', 'beautiful', 'hotel', 'great', 'food', 'bad', 'starwood', 'hotel', 'since', 'starwood', 'junkie', 'platinum', 'level', 'member']",5.0
"['friendly', 'staff', 'great', 'location', 'time', 'square', 'expensive', 'room', 'rate', 'worth', 'premium', 'comparable', 'hotel']",4.0
"['pleasant', 'surprise', 'great', 'roomservice', 'location', 'reasonable', 'price', 'nyc']",5.0
"['gorgeous', 'boutique', 'hôtel', 'staff', 'extremely', 'gracious', 'lovely', 'lobby', 'bar', 'high', 'style', 'well', 'designed', 'room']",5.0
"['great', 'location', 'top', 'notch', 'service', 'modern', 'room', 'boutique', 'hotel']",5.0
"['amazing', 'service', 'ask', 'shall', 'receive', 'great', 'location', 'modern', 'contemporary', 'elegance']",5.0
"['fantastic', 'room', 'beautiful', 'hotel', 'excellent', 'location', 'great', 'service']",5.0
"['chatwal', 'every', 'level', 'delivered', 'fantastic', 'experience', 'value', 'room', 'spa', 'restaurant', 'disappointed', 'level']",5.0
"['new', 'hotel', 'ny', 'want', 'upscale', 'accommodation', 'one', 'definitely', 'return', 'list', 'brandon', 'thank']",5.0
"['really', 'loved', 'stay', 'location', 'great', 'atmosphere', 'tremendous', 'staff', 'ca', 'nt', 'say', 'stayed', 'better', 'place', 'nyc']",5.0
"['stayed', '6', 'hour', 'red', 'eye', 'really', 'nice', 'room', 'service', 'quiet']",5.0
"['free', 'wine', 'tasting', 'foyer', 'evening', 'around', 'warm', 'fire', 'pet', 'firendly', 'welcoming', 'room', 'plush', 'bed', 'divine', 'room', 'service', 'superb']",5.0
"['stayed', 'almost', 'week', 'definitely', 'comfortable', 'great', 'service']",5.0
"['perfect', 'location', 'manhattan', 'close', 'subway', 'line', 'shopping', 'beautiful', 'room', 'definately', 'stay']",5.0
"['hotel', 'excelent', 'great', 'staff', 'clean', 'free', 'wifi', 'modern', 'located', 'nice', 'area', 'done', 'upper', 'east', 'side', 'highly', 'recommend']",5.0
"['stayed', 'prior', 'visit', 'hotel', 'one', 'favorite', 'great', 'location', 'great', 'staffgreat', 'room', 'countinue', 'book']",5.0
"['good', 'midtown', 'location', 'helpful', 'staff', 'clean', 'modern', 'austere', 'room', 'good', 'bed', 'quiet', 'return']",4.0
"['price', 'would', 'expect', 'friendly', 'staff', 'great', 'cleaning', 'room']",3.0
"['great', 'location', 'excellent', 'room', 'great', 'facility', 'good', 'gym', 'especially', 'enjoyed', 'complimentary', 'early', 'morning', 'yoga', 'class', 'run', 'terrance']",5.0
"['go', 'stay', 'often', 'town', 'business', 'great', 'staff', 'awesome', 'room']",5.0
"['first', 'time', 'staying', 'hotel', 'fantastic', 'back', 'next', 'year', 'best', 'sleep', 'vacation']",5.0
"['city', 'view', 'king', 'room', 'deluxe', 'smaller', 'thought', 'overall', 'cleanliness', 'good', 'bed', 'comfortable']",4.0
"['nice', 'hotel', 'great', 'walking', 'area', 'close', 'empire', 'state', 'building', 'clean', 'room', 'great', 'bed']",4.0
"['love', 'kimpton', 'hotel', 'one', 'disappoint', 'great', 'location', 'helpful', 'staff', 'would', 'stay']",5.0
"['amazing', 'room', 'comfy', 'bed', 'staff', 'attentive', 'genuinely', 'friendly', 'free', 'wifi', 'good', 'location', 'ca', 'nt', 'go', 'wrong']",5.0
"['welcoming', 'genuinely', 'helpful', 'staff', 'cool', 'modern', 'atmosphere', 'central', 'broadwaytheatre', 'district', '10', 'min', 'walk']",4.0
"['beautiful', 'hotel', 'wellappointed', 'near', 'empire', 'state', 'building', 'found', 'staff', 'friendly', 'helpful']",5.0
"['quiet', 'spacious', 'room', 'beautiful', 'understated', 'hip', 'comfy', 'well', 'trained', 'exceptionally', 'service', 'orientated', 'staff', 'kimptons', 'great']",4.0
"['wine', 'evening', 'coffee', 'morning', 'spotless', 'modern', 'facility', 'efficient', 'service', 'cafe', ' ', 'deli', 'next', 'door', 'worth', 'look']",5.0
"['perfect', 'hotel', 'stay', 'two', 'daughter', 'girl', 'get', 'way', 'good', 'location', 'easy', 'access', 'extremely', 'helpful', 'staff', 'front', 'desk']",5.0
"['accommodation', 'nice', 'room', 'comfortable', 'ill', 'definitely', 'return', 'strong', 'advocate', 'kimpton', 'hotel']",4.0
"['genuinely', 'enjoyed', 'stay', 'location', 'great', 'hotel', 'comfortable', 'service', 'incredible']",5.0
"['staff', 'warm', 'welcoming', 'felt', 'like', 'home', 'love', 'wine', 'reception', 'evening']",5.0
"['room', 'big', 'ny', 'think', 'ok', 'location', 'bad', 'area', 'beautiful']",4.0
"['great', 'hotel', 'wonderful', 'staff', 'super', 'clean', 'excellent', 'location']",5.0
"['arrival', 'departure', 'could', 'nt', 'better', 'thank', 'sharee', 'hines', 'kirk', 'super', 'stay', '\n', 'jimjoan', 'r']",5.0
"['beautiful', 'hotel', 'excellent', 'friendly', 'helpful', 'staff']",5.0
"['loved', 'iroquois', 'personal', 'service', 'luxurious', 'comfort', 'convenience', 'plan', 'stay']",5.0
"['place', 'amazing', 'must', 'stay', 'city', 'service', 'great', 'location', 'perfect', 'cheer']",5.0
"['friendly', 'helpful', 'staff', 'could', 'fault', 'great', 'location', 'fr', 'shopping', 'theatre', 'restaurant', ' ', 'central', 'station']",5.0
"['excellent', 'place', 'stay', 'u', 'want', 'middle', 'everything']",5.0
"['great', 'hotel', 'great', 'room', 'great', 'staff', 'great', 'location']",5.0
"['great', 'hotel', 'lovely', 'staff', 'room', 'beautiful', 'loation', 'could', 'nt', 'better']",5.0
"['enjoyed', 'everything', 'stay', 'staff', 'make', 'excellent', 'concierge', 'bellman', 'receptionist']",5.0
"['second', 'time', 'hotel', 'defintely', 'make', 'third', 'great', 'location', 'friendly', 'staff', 'enjoyed', 'every', 'minute', 'stay']",5.0
"['liked', 'iroquois', 'hotel', 'location', 'service', 'staff', 'bed', 'everyone', 'nice', 'helpful', 'would', 'stay']",5.0
"['second', 'stay', 'le', '1', 'year', 'ideal', 'location', 'business', 'leasure', 'nice', 'room', 'well', 'cleaned', 'helpful', 'conscierge']",5.0
